epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2503.5,1.18753,1.4877,1.4577,0.93824,0.95103,0.97649,0.66679,1.00157,1.20221,1.49109,0.000665158,0.000665158,0.000665158
2,4833.77,1.22453,1.01853,1.46181,0.92154,0.93841,0.96495,0.65545,1.03753,0.80036,1.52715,0.00130545,0.00130545,0.00130545
3,7142.56,1.20001,0.91585,1.44407,0.94788,0.93814,0.97402,0.65613,1.13653,0.72185,1.60658,0.00191935,0.00191935,0.00191935
4,9453.66,1.16396,0.85078,1.40829,0.978,0.93041,0.9723,0.66973,1.02297,0.66852,1.41727,0.0018812,0.0018812,0.0018812
5,11767.5,1.11514,0.79619,1.36595,0.97213,0.96649,0.9832,0.76566,0.83311,0.5387,1.29206,0.0018416,0.0018416,0.0018416
6,14082.8,1.07027,0.73967,1.33959,0.94997,0.97873,0.98788,0.77557,0.80375,0.52373,1.26632,0.001802,0.001802,0.001802
7,16401.4,1.05245,0.70375,1.32198,0.96931,0.97679,0.98928,0.77609,0.77076,0.49225,1.22395,0.0017624,0.0017624,0.0017624
8,18712.9,1.01657,0.66601,1.29834,0.98131,0.97165,0.99121,0.79277,0.77421,0.45575,1.23613,0.0017228,0.0017228,0.0017228
9,21025.3,1.00358,0.65538,1.28944,0.98074,0.95619,0.98849,0.81305,0.7029,0.45269,1.17781,0.0016832,0.0016832,0.0016832
10,23340,0.97226,0.63353,1.27062,0.96944,0.98108,0.99001,0.80272,0.74907,0.48344,1.19614,0.0016436,0.0016436,0.0016436
11,25653.2,0.97259,0.62746,1.2662,0.97724,0.97423,0.98842,0.79481,0.75315,0.44652,1.219,0.001604,0.001604,0.001604
12,27967.8,0.9479,0.60055,1.25365,0.99205,0.96483,0.98519,0.79714,0.75379,0.41237,1.21345,0.0015644,0.0015644,0.0015644
13,30291,0.94161,0.59389,1.24575,0.97929,0.97504,0.99144,0.79653,0.74227,0.42849,1.20483,0.0015248,0.0015248,0.0015248
14,32617.1,0.93589,0.58343,1.24692,0.98036,0.96907,0.99232,0.80267,0.72948,0.45223,1.20107,0.0014852,0.0014852,0.0014852
15,34938.7,0.90877,0.5594,1.22624,0.98208,0.98878,0.992,0.79706,0.72208,0.41065,1.17765,0.0014456,0.0014456,0.0014456
16,37260.9,0.91078,0.55824,1.22855,0.98601,0.95876,0.9911,0.81809,0.65759,0.44401,1.12321,0.001406,0.001406,0.001406
17,39592.1,0.89709,0.55261,1.21839,0.98094,0.98196,0.9923,0.82033,0.64671,0.39453,1.12455,0.0013664,0.0013664,0.0013664
18,41909.7,0.90493,0.54821,1.22239,0.97206,0.98631,0.99261,0.82627,0.66829,0.37641,1.1213,0.0013268,0.0013268,0.0013268
19,44233.1,0.89068,0.53533,1.21556,0.97941,0.98069,0.99263,0.80159,0.72029,0.4064,1.16348,0.0012872,0.0012872,0.0012872
20,46612,0.88445,0.53754,1.21026,0.97528,0.97938,0.99224,0.82752,0.65762,0.38641,1.11323,0.0012476,0.0012476,0.0012476
21,48964,0.8641,0.52114,1.1906,0.98436,0.97358,0.99261,0.84331,0.62592,0.37628,1.09546,0.001208,0.001208,0.001208
22,51934.3,0.8644,0.51993,1.19548,0.98447,0.98029,0.99195,0.84439,0.6282,0.35512,1.09419,0.0011684,0.0011684,0.0011684
